,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
3795,4627,22/02/2016,Fred Olsen Renewables,Mid Hill - Phase II,Wind Onshore,18.4,2.3,8.0,,Operational,"Mid Hill, Fetteresso
Stonehaven",Grampian,Scotland,Scotland,,370540,786500.0,02/12/2014,"(56.96877477323675, -2.486163818498314)"
3797,4629,17/03/2015,North Harris Trust,Monan Hill Wind Turbines,Wind Onshore,1.5,0.5,3.0,,Operational,500m North Of Ceann An Ora Quarry Ardhasaig Isle Of Harris,Western Isles,Scotland,Scotland,HS3 3AJ,114171,904933.0,19/03/2015,"(57.94167513686407, -6.8317979615534234)"
3803,4636,12/04/2021,Scottish Power Renewables,Halsary Wind Farm,Wind Onshore,34.0,2.3,15.0,120.0,Operational,"Spittal, Caithness",Highland,Scotland,Scotland,,315749,950081.0,31/03/2021,"(58.43089974308122, -3.44444715023542)"
3804,4637,16/12/2016,REG Windpower (previously Cornwall Light and Power),French Farm,Wind Onshore,4.0,2.5,2.0,,Operational,"French Farm, French Drove, Thorney, Peterborough, ",Cambridgeshire,Eastern,England,,528300,309000.0,24/11/2016,"(52.66354299140061, -0.10433880071390145)"
3805,4638,04/04/2017,Renewable Energy Systems (RES),Glenchamber Wind Farm,Wind Onshore,27.5,2.5,11.0,,Operational,"between New Luce, Kirkcowan and Glenluce",Dumfries and Galloway,Scotland,Scotland,,223765,566671.0,01/06/2016,"(54.96342048614851, -4.754333642927352)"
3807,4640,03/04/2018,Scottish and Southern Energy (SSE),Bhlaraidh (previously Balmacaan),Wind Onshore,110.0,3.43,32.0,135.0,Operational,Near Invermoriston,Highland,Scotland,Scotland,,244194,817221.0,15/09/2017,"(57.21914701357764, -4.581905437398852)"
3809,4642,01/05/2018,Banks Renewables,Moor House Wind Farm,Wind Onshore,12.0,2.5,6.0,,Operational,"Bishopton Lane, Great Burdon, Darlington",County Durham,North East,England,,432599,520053.0,15/12/2017,"(54.574646548860514, -1.4972377766537892)"
3810,4643,01/10/2019,Banks Renewables,Kype Muir Wind Farm,Wind Onshore,88.4,3.4,26.0,,Operational,approximately 5 km south of the town of Strathaven,Strathclyde,Scotland,Scotland,,271915,639557.0,15/09/2019,"(55.632651616712636, -4.036104942819622)"
3811,4644,20/12/2017,John Laing Environmental Assets Group,Llynfi Afan Renewable Energy Park,Wind Onshore,6.0,2.0,3.0,,Operational,"Mynydd Y Gelli, Port Talbot, Bridgend",Neath Port Talbot,Wales,Wales,,288368,195006.0,14/09/2017,"(51.64273897780618, -3.614678403016432)"
3812,4645,04/04/2017,Falck Renewables,Assel Valley Wind Farm,Wind Onshore,25.0,2.3,11.0,,Operational,"Pinmore, Girvan, Strathclyde",Strathclyde,Scotland,Scotland,,223370,595995.0,28/10/2016,"(55.22647843305392, -4.778705371098767)"
3813,4646,31/05/2019,Innogy,Bad a Cheo Wind Farm,Wind Onshore,26.7,2.05,13.0,112.0,Operational,Bad A Cheo Achkeepster Spittal,Highland,Scotland,Scotland,,316615,948900.0,01/05/2019,"(58.420462483226444, -3.429193008105916)"
3814,4647,25/10/2016,Octopus Investments,Fraisthorpe Wind Farm,Wind Onshore,29.7,3.3,9.0,,Operational,"Land North East Of Manor Farm, Main Street, Fraisthorpe, East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,YO15 3QP,515938,462771.0,15/06/2016,"(54.047875933465576, -0.23071666254817597)"
3815,4648,30/04/2019,RWE Npower Renewables/ Innogy,Mynydd Y Gwair Wind Farm,Wind Onshore,32.8,3.0,16.0,,Operational,"Swansea, ",West Glamorgan,Wales,Wales,,266303,207394.0,24/04/2019,"(51.74924125488976, -3.938128656328255)"
3816,4649,30/11/2016,Aviva,Jack's Lane Wind Farm,Wind Onshore,13.8,2.3,6.0,,Operational,Barwick Hall Farm Barwick Road Stanhoe King's Lynn Norfolk ,Norfolk,Eastern,England,PE31 8PZ,580919,335229.0,01/04/2015,"(52.88408355231861, 0.6873906944351783)"
3818,4651,04/01/2016,REG Windpower / BlackRock,Denzell Downs Wind Farm,Wind Onshore,10.0,2.0,5.0,,Operational,"Higher Denzell Farm, St Mawgan, Newquay, ",Cornwall,South West,England,TR8 4HG,189923,67094.0,24/11/2015,"(50.465948913588505, -4.9615151040420145)"
3819,4652,04/01/2017,Energia Renewables,Long Mountain,Wind Onshore,27.6,2.0,12.0,,Operational,"Dunloy, Co. Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,115926,574530.0,15/12/2016,"(54.98409602794562, -6.442004906712942)"
3820,4653,04/07/2017,Gaelectric Developments/ CGN Europe Energy,Cregganconroe,Wind Onshore,13.8,2.3,6.0,,Operational,"Loughmallon Road, Cregganconroe, Pomeroy ",Co. Tyrone,Northern Ireland,Northern Ireland,,78733,536671.0,04/01/2017,"(54.622596051790346, -6.979109285602401)"
3821,4654,03/05/2017,Natural Power,Ora More,Wind Onshore,15.0,2.3,6.0,,Operational,"Ora More Hill, in the Townlands of Killycreen East, Ora Beg and Mullylusty, near Boho and Belcoo, CoFermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,,16972,509701.0,30/03/2017,"(54.33849624229562, -7.895902831517564)"
3822,4655,24/02/2016,Infrared Capital Partners,Reaps Moss Wind Farm,Wind Onshore,10.2,3.4,3.0,125.0,Operational,"Reaps Moss, Bacup",Lancashire,North West,England,,389065,422650.0,31/03/2015,"(53.70016884181222, -2.1671047453693055)"
3823,4656,05/10/2017,John Laing Environmental Assets Group,"Llynfi Renewable Energy Park, Land at Mynydd Caerau",Wind Onshore,18.0,2.0,12.0,,Operational,"Glyncorrwg and Gelli Mountain, Croeserw, Neath and Port Talbot",Neath Port Talbot,Wales,Wales,SA13 3NN,287930,195255.0,14/09/2017,"(51.64488969913664, -3.6210853961589766)"
3824,4657,16/08/2016,Blue Energy,Chiplow,Wind Onshore,8.2,2.0,5.0,,Operational,"Bewteen the villages of Bagthorpe, Barmer and Syderstone in North West Norfolk",Norfolk,Eastern,England,,581259,332212.0,30/04/2016,"(52.856878223648096, 0.6907598261060655)"
3825,4658,26/02/2016,Banks Renewables,Hook Moor,Wind Onshore,10.3,2.05,3.0,125.0,Operational,"Land at Hook Moor, Micklefield, Leeds",West Yorkshire,Yorkshire and Humber,England,,443851,435273.0,15/01/2016,"(53.811902483047106, -1.3355207121209323)"
3826,4659,04/01/2016,Infrared Capital Partners,Crook Hill (Rochdale MBC) 2 of 2,Wind Onshore,23.8,3.4,7.0,,Operational,"Crook Hill/Shore Moor, North Of Watergrove Reservoir, Rochdale",Greater Manchester,North West,England,,392515,419340.0,01/12/2015,"(53.67047981294887, -2.1147681548386483)"
3827,4660,27/03/2017,Private Developer,Far Marsh Farm,Wind Onshore,7.5,2.5,3.0,,Operational,"Marsh Road, Ottringham, Hull, ",Humberside,Yorkshire and Humber,England,HU12 0AN,524667,421763.0,15/01/2017,"(53.67746903658124, -0.11411499967262068)"
3828,4661,29/05/2015,John Laing Environmental Assets Group,Wear Point,Wind Onshore,8.2,2.05,4.0,,Operational,"Land at Wear Point, Waterston Industrial, Llanstadwell",Dyfed,Wales,Wales,,193041,204629.0,07/07/2014,"(51.70213908807233, -4.996465314715065)"
3829,4662,05/01/2015,Blue Energy (formerly Ridgewind Ltd),Middlewick wind farm,Wind Onshore,20.7,2.3,9.0,,Operational,"Land Between Middlewick Farm And Wraywick Farm, The Marshes, Southminster, Essex",Essex,Eastern,England,,600140,200001.0,31/07/2014,"(51.663137226954305, 0.8924744802586716)"
3830,4663,02/12/2014,Hainsford Energy,Blyth Harbour Wind Farm (re-power),Wind Onshore,3.4,3.4,1.0,,Operational,"Blyth Harbour, North Blyth, Cambois, Bedlington, Northumberland",Northumberland,North East,England,,432585,580800.0,01/09/2012,"(55.12052187484485, -1.4906274532246266)"
3831,4664,29/08/2017,Greencoat Capital,Corriegarth,Wind Onshore,69.5,3.0,23.0,120.0,Operational,"Near Gorthleck, Inverness-shire",Highland,Scotland,Scotland,,257500,813500.0,30/09/2016,"(57.190084558112524, -4.359638023950259)"
3832,4665,16/09/2014,Carsington Wind Energy Limited,Carsington Pasture,Wind Onshore,8.0,2.0,4.0,,Operational,"Carsington Pasture, Derbyshire Dales",Derbyshire,East Midlands,England,,424640,354200.0,05/02/2014,"(53.08445505604621, -1.6335877674823787)"
3833,4666,16/09/2014,Co-operative Group,Langford Wind Farm,Wind Onshore,20.0,2.0,10.0,,Operational,"Edworth Road, Langford, Biggleswade, Bedfordshire, SG18 9PJ",Bedfordshire,Eastern,England,,520400,241520.0,30/01/2014,"(52.058987169673436, -0.2452787397604577)"
3834,4667,16/09/2014,Fred Olsen Renewables,Mid Hill I,Wind Onshore,57.5,2.3,25.0,,Operational,"Mid Hill, Fetteresso
Stonehaven",Grampian,Scotland,Scotland,,370540,786500.0,01/12/2013,"(56.96877477323675, -2.486163818498314)"
3835,4668,26/01/2012,Airtricity,Ardrossan Extension,Wind Onshore,6.0,2.0,3.0,,Operational,"Near Ardrossan
North Ayreshire",Strathclyde,Scotland,Scotland,,223500,642500.0,01/11/2008,"(55.64389978582304, -4.806141229676192)"
3836,4669,11/04/2011,CRE Energy/ Scottish Power,Beinn Tharsuinn Windfarm Project,Wind Onshore,29.8,1.75,17.0,,Operational,"Beinn Tharsuinn,Nr Easter Andross, Easter Ross, Northern Highlands",Highland,Scotland,Scotland,,261700,881900.0,01/12/2005,"(57.80527491009226, -4.328995396362208)"
3837,4670,06/04/2010,Statkraft and Catamount Energy Corporation,Blaengwen,Wind Onshore,23.0,2.3,10.0,,Operational,Pencader Carms.,Dyfed,Wales,Wales,SA39 94P,246387,233404.0,30/11/2009,"(51.97780720441368, -4.237982733162495)"
3838,4671,28/06/2016,RDC Scotland Ltd/ Falck Renewables,Boyndie Airfield,Wind Onshore,16.7,2.0,8.0,,Operational,"Boyndie Airfield, 
Banff",Grampian,Scotland,Scotland,,361978,864118.0,01/02/2006,"(57.66532977882181, -2.638964003784477)"
3839,4672,04/12/2017,Gravis Capital Management,Burton Wold Windfarm,Wind Onshore,20.0,2.0,10.0,,Operational,"Felaw Maltings, Felaw Street, Ipswich",Northamptonshire,East Midlands,England,IP2 8SJ,492500,274500.0,01/04/2006,"(52.36076160947809, -0.6430819045208926)"
3840,4673,08/10/2013,B9 / Renewable Energy Systems (RES),Callagheen,Wind Onshore,22.8,1.75,13.0,,Operational,"Garrison, near borders",Co. Fermanagh,Northern Ireland,Northern Ireland,,4942,519598.0,01/12/2005,"(54.417776298345416, -8.093026643535708)"
3841,4674,02/12/2014,Vattenfall,Edinbane Wind Farm,Wind Onshore,41.4,2.3,18.0,,Operational,"Cruachan Brinn Mhicaskill, Edinbane, Portree, Highlands",Highland,Scotland,Scotland,IV51 9PW,134353,850769.0,21/06/2010,"(57.46912682028169, -6.432206098199517)"
3842,4675,08/08/2011,Scottish and Southern Energy (SSE),Fairburn,Wind Onshore,43.0,2.15,20.0,,Operational,"Fairburn
Marybank",Highland,Scotland,Scotland,,242550,852250.0,07/06/2010,"(57.53290975816524, -4.631530153790545)"
3843,4676,17/09/2020,Innogy (formerly RWE npower),Farr Wind Farm,Wind Onshore,92.0,2.3,40.0,,Operational,"Tomatin
Inverness",Highland,Scotland,Scotland,,273500,829000.0,01/10/2005,"(57.33392061775464, -4.103012495227077)"
3844,4677,06/05/2009,RWE npower,Ffynnon Oer Wind Farm,Wind Onshore,32.0,2.0,16.0,,Operational,Near Glyncorrwg,West Glamorgan,Wales,Wales,,287500,199500.0,01/12/2005,"(51.68295601715897, -3.6286651585443943)"
3845,4678,27/02/2012,Scotwind (Scottish Renewables),Flotta,Wind Onshore,1.8,1.75,1.0,,Operational,"Flotta,Westhill, Orkney",Orkney Islands,Scotland,Scotland,,336770,995385.0,01/06/2010,"(58.84124656731271, -3.097252177491517)"
3846,4679,10/05/2016,Renewable Energy Systems (RES),Forss Wind Farm (Extension),Wind Onshore,5.2,1.3,4.0,,Operational,"Ex Navy Base Forss, Dounreay Thurso Caithness",Highland,Scotland,Scotland,KW14 7YB,302000,969500.0,01/07/2007,"(58.60235907124372, -3.6881357460645985)"
3847,4680,10/05/2016,B9 / Renewable Energy Systems (RES),Lough Hill,Wind Onshore,10.5,1.75,6.0,,Operational,"Lough Hill
East of Drumquin
County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,38467,541020.0,01/08/2006,"(54.63429585940413, -7.60521290939184)"
3848,4681,23/10/2009,Ecotricity,Michelin Tyre Co Ltd - Dundee,Wind Onshore,4.0,2.0,2.0,,Operational,"Baldovie Road, Dundee
Dundee",Tayside,Scotland,Scotland,,345050,732750.0,20/05/2006,"(56.48363280485251, -2.89382753092997)"
3849,4682,26/04/2010,Renewable Development Company (RDC) Scotland (Ltd) for FALCK RENEWABLES,Millennium Windfarm,Wind Onshore,40.0,2.5,16.0,125.0,Operational,"Millennium Windfarm
on The Achlain and Invergarry amd Aberchalder Estates
Glengarry Invergarry
Inverness-Shire
(nr Glen Moriston
Fort Augustus)",Highland,Scotland,Scotland,,225679,810840.0,15/07/2008,"(57.15522678150692, -4.883641231931057)"
3850,4683,16/08/2011,Lomond Energy,Muirhall,Wind Onshore,12.3,3.0,6.0,,Operational,"Stellashaw Moss, South Lanarkshire",Strathclyde,Scotland,Scotland,,300605,653760.0,01/01/2011,"(55.766934464828076, -3.5857653858798217)"
3851,4684,06/05/2009,Renewable Energy Systems (RES),Mynydd Clogau Wind Farm,Wind Onshore,14.5,0.85,17.0,,Operational,"Mynydd Clogau, Mynydd Bwrch-y-gors and Mynydd Cerrigllwydion, near Adfa, Newtown, Powys",Powys,Wales,Wales,,303300,298800.0,01/12/2005,"(52.57838579830629, -3.42847654952579)"
3852,4685,08/10/2013,Private Developer,New Barn Farm,Wind Onshore,4.5,1.5,3.0,,Operational,"Billington Road, Burnley, BB11 5QQ",Lancashire,North West,England,,380100,430800.0,01/02/2007,"(53.77315375458533, -2.303419569856716)"
3853,4686,06/05/2009,Foresight Group,North Pickenham,Wind Onshore,14.4,1.8,8.0,,Operational,"near Hempnall
South Norfolk",Norfolk,Eastern,England,,585000,307000.0,01/10/2006,"(52.62922137665769, 0.7320519868648447)"
3854,4687,04/10/2017,Fred Olsen Renewables,Paul's Hill and Extension,Wind Onshore,65.0,2.3,28.0,,Operational,"Paul's Hill, Bowlingalloch, Moray, (area is also known as Ballindalloch)
(14km west of Charlestown, 13km north of Granthon on Spey)",Grampian,Scotland,Scotland,,311500,840500.0,01/04/2006,"(57.44615230158722, -3.4762072217469564)"
3855,4688,05/01/2015,Greencoat UK Wind,Tappaghan Extension,Wind Onshore,9.0,1.5,6.0,,Operational,"Lack, Tappaghan Mountains, Northern Ireland",Co. Fermanagh,Northern Ireland,Northern Ireland,,31856,531807.0,01/07/2009,"(54.54713562172703, -7.695579791861857)"
3856,4689,16/08/2012,Munich Re (previously Windjen Power Ltd),Tir Mostyn And Foel Goch Wind Farm,Wind Onshore,21.3,0.85,25.0,,Operational,"Nantglyn, Denbighshire",Clwyd,Wales,Wales,,300300,358800.0,01/06/2005,"(53.11702668808237, -3.4910997506076176)"
3857,4690,04/07/2017,Cumbria Wind Farms,Trimdon Grange,Wind Onshore,5.2,1.3,4.0,,Operational,"Trimdon Grange, County Durham",County Durham,North East,England,,436000,536300.0,10/07/2008,"(54.720416390490854, -1.4426370144822516)"
3858,4691,23/10/2009,Wind Prospect / Community Windpower,Wardlaw Wood,Wind Onshore,18.0,3.0,6.0,,Operational,"Dalry
Ayrshire",Strathclyde,Scotland,Scotland,,224900,651200.0,01/03/2006,"(55.72248444708525, -4.789481338375854)"
3907,4747,24/04/2017,Southrigg WT,Southrigg,Wind Onshore,1.5,1.5,1.0,125.0,Operational,"Southrigg Farm, Bathgate",North Lanarkshire,Scotland,Scotland,EH48 3AW,291875,665563.0,01/10/2016,"(55.871061970944425, -3.7295369182125553)"
3936,4790,22/01/2019,Kingspan,Kingspan,Wind Onshore,1.8,0.9,2.0,78.0,Operational,"Kingspan Ltd, 2-4 Bagillt Road, Greenfield, Holywell",Flintshire,Wales,Wales,CH8 7GJ,320053,377640.0,11/01/2019,"(53.28967040416918, -3.2007685725421253)"
4002,4892,27/03/2017,Farm Energy Consulting,Gawnsmoss Cluster,Wind Onshore,2.4,0.8,3.0,79.0,Operational,Site at Cairnhill Banff,Aberdeen,Scotland,Scotland,AB45 3BS,363483,859316.0,27/03/2017,"(57.62232418447423, -2.61301206347591)"
4017,4908,05/01/2015,AWE Renewables,Quarrendon Fields,Wind Onshore,1.5,1.5,1.0,144.0,Operational,"Quarrendon Fields, Aylesbury",Buckinghamshire,South East,England,HP18 0PT,480288,216618.0,18/12/2014,"(51.84240244251684, -0.8359907802791673)"
4022,4917,18/04/2017,Redpath Energy,Newstead and Annesley Wind Turbine,Wind Onshore,1.5,1.5,1.0,126.0,Operational,"Newstead and Annesley Country Park, Tilford Road, Newstead",Nottinghamshire,East Midlands,England,NG15 0BT,452500,353400.0,01/12/2016,"(53.07525827260797, -1.2178115497267141)"
4065,4976,10/02/2015,Thames Water Utilities,Beckton Sewage Treatment Works,Wind Onshore,2.2,1.0,2.0,64.0,Operational,"Beckton Sewage Works, Jenkins Lane, Barking",London,London,England,IG11 0AD,544385,182797.0,12/11/2014,"(51.52563480479312, 0.07991012209364433)"
4079,4995,21/06/2017,Seneca Global Energy,Melton Waste Park,Wind Onshore,5.0,2.5,2.0,117.0,Operational,"Land South West Of Melton Waste, Gibson Lane, Melton, North Ferriby, ",Humberside,Yorkshire and Humber,England,HU14 3HH,496867,425532.0,01/03/2017,"(53.71721987723426, -0.5336356229008943)"
4197,5187,02/10/2018,The Energy Workshop,Hill of Lybster (Wind Turbine - Extension),Wind Onshore,1.5,1.5,1.0,100.0,Operational,"Land 200M N Of, 3 Lybster Road, Forss, Thurso, Highlands",Highland,Scotland,Scotland,KW14 7YA,302481,969366.0,12/04/2021,"(58.60126451892747, -3.679804919996895)"
4261,5277,24/04/2017,Infinergy/ Muirhall Energy,Burton Wold Wind Farm South,Wind Onshore,7.5,2.75,3.0,137.0,Operational,"Land at Glendon Farm, Burton Latimer, Kettering",Northamptonshire,East Midlands,England,NN15 5,491602,273681.0,24/04/2017,"(52.35355132719564, -0.6564881210594107)"
4480,5555,24/10/2016,Associated British Ports,ANP Newport Wind Turbine,Wind Onshore,2.3,2.3,2.0,126.0,Operational,"Land To South Of South Dock, Alexandra Docks, And Adjacent to River Usk, East Way Road",Gwent,Wales,Wales,NP20 2UW,332583,184564.0,15/08/2016,"(51.555913906968335, -2.973814711711214)"
4520,5598,21/11/2018,CGNEE,Brenig Wind Farm,Wind Onshore,37.6,3.0,16.0,110.0,Operational,"Land east of Llyn Brenig, Nantglyn, Denbigh,",Denbighshire,Wales,Wales,,299481,357920.0,15/10/2018,"(53.1089652150274, -3.5030561912252485)"
4545,5637,02/12/2019,Mongoose (formerly Energy Law Unlimited/ Pogbie Windfarm),Pogbie Wind Farm 2,Wind Onshore,4.8,0.8,6.0,74.0,Operational,"Humbie, Lothian",East Lothian,Scotland,Scotland,EH36 5PN,347360,661013.0,01/03/2019,"(55.839451181039394, -2.8421014442512877)"
4838,6033,15/01/2018,Clean Earth Energy,Bodtegir,Wind Onshore,1.5,1.5,1.0,100.0,Operational,"Land at Bodtegir, part of the, Mwdwl Eithin, Nant Bach Wind Farm On Land At, Corwen",Clwyd,Wales,Wales,LL21 9AB,299554,347741.0,01/11/2017,"(53.017510662671526, -3.498786657644282)"
4862,6079,20/09/2018,Infinite Renewables,West of Rhiwfelin Fach Farm,Wind Onshore,1.5,1.5,1.0,116.0,Operational,"Land to the West of, Rhiwfelin Fach Farm, Llantrisant, Heol Sticil-Y-Beddau, Pontyclun",Mid Glamorgan,Wales,Wales,CF72 8LQ,303640,185362.0,31/08/2018,"(51.55887983145654, -3.391393912645986)"
4878,6106,18/08/2016,Green Cat Renewables ,Marshill Farm,Wind Onshore,1.5,1.5,1.0,119.0,Operational,"Farmland to the West of, Draffan Road, Draffanmarshill Farm, Lanark, Strathclyde",South Lanarkshire,Scotland,Scotland,ML11 9PW,278551,645431.0,01/08/2015,"(55.68710418760376, -3.9333650160309537)"
4921,6173,28/07/2016,WhiteRock Energy,Woodlands Wind Farm,Wind Onshore,2.6,0.85,3.0,70.0,Operational,"Woodlands Farm, Lesmahagow, Lanark",South Lanarkshire,Scotland,Scotland,ML11 0HQ,279826,639404.0,28/07/2016,"(55.63329830487039, -3.910458129664787)"
4995,6293,23/05/2019,Clean Earth Energy,Accolade Wines,Wind Onshore,2.5,1.5,1.0,130.0,Operational,"Accolade Wines, Kings Weston Lane, Avonmouth, Bristol, Avon",Avon,South West,England,BS11 9FG,352283,180011.0,15/06/2019,"(51.516993524383885, -2.6890706101627475)"
5003,6318,16/06/2017,Clean Earth Energy,Craigannet Farm Wind Turbine,Wind Onshore,1.5,1.5,1.0,,Operational,Land Some 1600 Metres North West Of Craigannet Farm Fintry,Stirling,Scotland,Scotland,,271250,685550.0,31/03/2017,"(56.045452372884675, -4.068480838632537)"
5038,6388,04/05/2017,CBK Galbraith,Ferneylea Farm,Wind Onshore,1.5,0.75,2.0,71.0,Operational,"Ferneylea Farm, Cockburnspath",East Lothian,Scotland,Scotland,TD13 5YN,373982,669162.0,01/01/2015,"(55.91484254901166, -2.417819370758437)"
5152,6636,04/06/2018,Renewable Energy Systems (RES),Forss Wind Farm,Wind Onshore,2.6,1.3,2.0,99.0,Operational,Wind Turbine Ex Navy Base Forss Dounreay Thurso Caithness,Highland,Scotland,Scotland,KW14 7YB,302000,969500.0,01/07/2003,"(58.60235907124372, -3.6881357460645985)"
5615,7312,11/01/2022,Keele University,The Low Carbon Energy Generation Project at Keele University,Wind Onshore,1.9,1.0,2.0,77.0,Operational,"Land Adj To Springpool Wood, Keele, Newcastle-Under-Lyme",Staffordshire,West Midlands,England,ST5 5BW,381909,344989.0,01/09/2021,"(53.00191023661259, -2.2710239763446123)"
5757,7562,23/09/2020,Statkraft UK,Windy Rig Wind Farm,Wind Onshore,43.0,3.0,12.0,125.0,Operational,"Carsphairn, Castle Douglas,",Dumfries and Galloway,Scotland,Scotland,DG7 3,261700,600000.0,10/01/2022,"(55.274673124322334, -4.178561474848133)"
